RefDomaine,DomaineDeFormation,MotsCles
CEGOS_DomaineF-01,Achats,achats
CEGOS_DomaineF-02,Assistant(e),assistante
CEGOS_DomaineF-03,Banque,banque
CEGOS_DomaineF-04,Bureautique - PAO/CAO,"bureautique, pao, cao"
CEGOS_DomaineF-05,Changement,changement
CEGOS_DomaineF-06,Coaching,coaching
CEGOS_DomaineF-07,Commercial - Ventes,"commercial, ventes"
CEGOS_DomaineF-08,Communication,communication
CEGOS_DomaineF-09,Comptabilité - Fiscalité,"comptabilite, fiscalite"
CEGOS_DomaineF-10,Contrôle de gestion,"controle, gestion"
CEGOS_DomaineF-11,Création d’entreprise,"creation, dentreprise"
CEGOS_DomaineF-12,Direction de l''entreprise,"direction, entreprise"
CEGOS_DomaineF-13,Droit des affaires,"droit, affaires"
CEGOS_DomaineF-14,Droit social,"droit, social"
CEGOS_DomaineF-15,Développement personnel,personnel
CEGOS_DomaineF-16,Efficacité professionnelle,"efficacite, professionnelle"
CEGOS_DomaineF-17,Finance - Trésorerie,"finance, tresorerie"
CEGOS_DomaineF-18,Formation de formateurs,"formation, formateurs"
CEGOS_DomaineF-19,Formations en anglais,"formations, anglais"
CEGOS_DomaineF-20,Gestion du temps,"gestion, temps"
CEGOS_DomaineF-21,IA - Digital,"ia, digital"
CEGOS_DomaineF-22,Immo,immo
CEGOS_DomaineF-23,Informatique SI,informatique
CEGOS_DomaineF-24,Innovation créativité,"innovation, creativite"
CEGOS_DomaineF-25,International,international
CEGOS_DomaineF-26,Logistique - Supply chain,"logistique, chain"
CEGOS_DomaineF-27,Management,
CEGOS_DomaineF-28,Marketing,marketing
CEGOS_DomaineF-29,Organisation - Audit,"organisation, audit"
CEGOS_DomaineF-30,Paie/Admin.,"paie, admin"
CEGOS_DomaineF-31,Production - Lean,"production, lean"
CEGOS_DomaineF-32,Projet,projet
CEGOS_DomaineF-33,QVT,
CEGOS_DomaineF-34,Qualité-Santé-Sécurité-Env,"qualite, sante, securite, env"
CEGOS_DomaineF-35,RSE - Dev. Durable,"rse, dev, durable"
CEGOS_DomaineF-36,Relation client,relation
CEGOS_DomaineF-37,Ressources humaines,"ressources, humaines"
CEGOS_DomaineF-38,Secteur public,"secteur, public"
CEGOS_DomaineF-39,Soft skills,"soft, skills"
CEGOS_DomaineF-40,Travail à distance,"travail, distance"
CEGOS_DomaineF-41,Web,
